"endpoint_id","patient_id","quantity","required_for_gate","split_rhat","rank_normalized_split_rhat","folded_split_rhat","mcmc_ess","tail_mcmc_ess","relative_mcmc_ess","chain_mean_range","diagnostic_available","failure_code","failure_message"
"lambda_scale_minus","71","forward_raw_weight_contribution",TRUE,1.0028251492729,1.00200685340142,1.0028251492729,269.524854813023,402.796161310466,0.269524854813023,0.0097314757542134,TRUE,NA,NA
"lambda_scale_minus","71","reference_x/u_log_lambda",TRUE,1.01423681177499,1.01423681177499,1.00713064887497,148.451401472189,187.743269536402,0.148451401472189,0.0231234511308691,TRUE,NA,NA
"lambda_scale_minus","71","reference_x_squared/u_log_lambda",TRUE,1.01423681177499,1.01423681177499,1.00750357560823,148.451401472189,187.743269536402,0.148451401472189,0.0518071393288659,TRUE,NA,NA
"lambda_scale_minus","74","forward_raw_weight_contribution",TRUE,1.0910404348228,1.0910404348228,1.02460907886331,12.58071818076,45.4169118556887,0.01258071818076,0.0074527341947368,TRUE,NA,NA
"lambda_scale_minus","74","reference_x/u_log_lambda",TRUE,1.08862342778342,1.08862342778342,1.01566103652434,21.1029927528691,45.4169118556887,0.0211029927528691,0.0101758042047368,TRUE,NA,NA
"lambda_scale_minus","74","reference_x_squared/u_log_lambda",TRUE,1.08861812483609,1.08861812483609,1.00363256628841,21.1026808148153,45.4169118556887,0.0211026808148153,0.0115129911870065,TRUE,NA,NA
"lambda_scale_minus","88","forward_raw_weight_contribution",TRUE,1.01914855069538,1.01723294049463,1.01914855069538,53.5229312331674,125.844455340042,0.0535229312331674,0.0411626828751608,TRUE,NA,NA
"lambda_scale_minus","88","reference_x/u_log_lambda",TRUE,1.01816808814859,1.01806201723843,1.01816808814859,53.4730482949255,120.273002324309,0.0534730482949255,0.0563390064890066,TRUE,NA,NA
"lambda_scale_minus","88","reference_x_squared/u_log_lambda",TRUE,1.01806201723843,1.01806201723843,1.01793165019044,53.4730482949255,120.273002324309,0.0534730482949255,0.123801216905112,TRUE,NA,NA
"lambda_scale_minus","105","forward_raw_weight_contribution",TRUE,1.03077760277019,1.03077760277019,1.01957928171235,81.3769463694211,104.914283410794,0.0813769463694211,0.00602158037464329,TRUE,NA,NA
"lambda_scale_minus","105","reference_x/u_log_lambda",TRUE,1.05358809560466,1.05358809560466,1.01488281201856,53.8626984964958,68.0224603159197,0.0538626984964958,0.0199585299329199,TRUE,NA,NA
"lambda_scale_minus","105","reference_x_squared/u_log_lambda",TRUE,1.05358809560466,1.05358809560466,1.01827937799281,53.8626984964958,68.0224603159197,0.0538626984964958,0.0499620943588261,TRUE,NA,NA
"lambda_scale_minus","111","forward_raw_weight_contribution",TRUE,1.04120977492895,1.04120977492895,1.00114756483686,123.032224673676,217.870399866924,0.123032224673676,0.00272512741190623,TRUE,NA,NA
"lambda_scale_minus","111","reference_x/u_log_lambda",TRUE,1.02435414057752,1.01837949465406,1.02435414057752,126.608296707133,171.608475745881,0.126608296707133,0.0904990717640779,TRUE,NA,NA
"lambda_scale_minus","111","reference_x_squared/u_log_lambda",TRUE,1.02446465477346,1.01837949465406,1.02446465477346,126.608296707133,171.608475745881,0.126608296707133,0.272685820734786,TRUE,NA,NA
"lambda_scale_minus","117","forward_raw_weight_contribution",TRUE,1.03411072192158,1.03109570951503,1.03411072192158,35.1717048922097,22.4441140589346,0.0351717048922097,0.0715648856160884,TRUE,NA,NA
"lambda_scale_minus","117","reference_x/u_log_lambda",TRUE,1.03550901830391,1.03550901830391,1.03125803231798,35.8781426065055,22.4441140589346,0.0358781426065055,0.183949885441549,TRUE,NA,NA
"lambda_scale_minus","117","reference_x_squared/u_log_lambda",TRUE,1.03076151094123,1.02546896354052,1.03076151094123,42.8404046099213,140.823258451257,0.0428404046099213,0.332845564204282,TRUE,NA,NA
"lambda_scale_minus","122","forward_raw_weight_contribution",TRUE,1.07885140659344,1.07885140659344,1.03939134976205,14.2863533367531,21.8278059777732,0.0142863533367531,0.0259086723024601,TRUE,NA,NA
"lambda_scale_minus","122","reference_x/u_log_lambda",TRUE,1.07091618813349,1.07091618813349,1.00320339967736,15.7123269692207,152.958399087497,0.0157123269692207,0.0827231264559212,TRUE,NA,NA
"lambda_scale_minus","122","reference_x_squared/u_log_lambda",TRUE,1.07091618813349,1.07091618813349,1.00563949135005,15.7123269692207,152.958399087497,0.0157123269692207,0.274595089036086,TRUE,NA,NA
"lambda_scale_plus","3","forward_raw_weight_contribution",TRUE,1.08329723359971,1.08329723359971,1.00287840592885,13.6063393622265,76.9076468572088,0.0136063393622265,0.047484565537282,TRUE,NA,NA
"lambda_scale_plus","3","reference_x/u_log_lambda",TRUE,1.08329723359971,1.08329723359971,1.0141020403279,13.6063393622265,76.9076468572088,0.0136063393622265,0.0822156513131054,TRUE,NA,NA
