"endpoint_id","axis","parameter","step","sign","patient_id","treatment","chain","direction","raw_log_ratio","oriented_log_ratio","relative_weight_ess","max_normalized_weight","d2","batch_log_mcse","split_log_ratio_difference","split_d2_difference","maximum_absolute_log_weight"
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"3",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"3",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"6",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"6",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"16",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"16",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"20",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"20",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"55",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"55",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"71",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"71",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"74",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"74",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"88",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"88",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"105",1,"chain_01","forward",-0.219107334869913,-0.219107334869913,0.565264802169306,0.010042191332664,0.570460981224327,0.201558221248357,0.260467821309118,0.144486569934863,3.06536827589027
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"105",1,"chain_02","forward",0.32288845752711,0.32288845752711,0.494632499754301,0.00991235995231634,0.703940216885962,0.250870327926178,0.349692169471804,0.386363591888945,2.81330548226355
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"111",1,"chain_01","forward",-0.0100764786928718,-0.0100764786928718,0.568498383214205,0.0105126300365508,0.564756809745977,0.136882725819475,0.286799136891912,0.270054136519092,3.18183582748903
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"111",1,"chain_02","forward",-0.0591329913705252,-0.0591329913705252,0.424589616350125,0.0166246313541552,0.856632185145961,0.269191883427188,0.593487695379948,0.268835193413691,3.41254367425254
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"117",1,"chain_01","forward",-0.121243595675815,-0.121243595675815,0.448975263396523,0.0121810725634648,0.800787485415618,0.17655634883874,0.0889985147651124,0.244989329025332,3.49184953267191
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"117",1,"chain_02","forward",0.164023634436232,0.164023634436232,0.541095266624214,0.0141596411444101,0.614159922063052,0.160840882924003,0.115684011531309,0.286501232602849,2.59647111219092
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"122",1,"chain_01","forward",0.0319559824299995,0.0319559824299995,0.442051198973425,0.0130509991686512,0.816329568831264,0.237243493233228,0.0980469316028874,0.361043611650913,2.87973816055103
"treatment_minus","treatment_effect","beta_nelf",0.972905614670396,-1,"122",1,"chain_02","forward",-0.343559587348308,-0.343559587348308,0.56721254006706,0.0133968207796472,0.567021195286717,0.179191967805162,0.103647309674469,0.320552382925787,2.22519456924019
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"3",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"3",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"6",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"6",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"16",0,"chain_01","forward",0,0,1,0.002,0,0,0,0,0
"treatment_plus","treatment_effect","beta_nelf",0.972905614670396,1,"16",0,"chain_02","forward",0,0,1,0.002,0,0,0,0,0
