"method","variable","mean","sd","q05","q50","q95","mcse_mean","mcse_sd","mcse_q05","mcse_q50","mcse_q95","rhat","bulk_ess","tail_ess","bulk_ess_per_cpu_sec","tail_ess_per_cpu_sec","bulk_ess_per_sum_wall_sec","bulk_ess_per_1000_budget_units","tail_ess_per_1000_budget_units","bulk_ess_per_1000_ode_integrations","tail_ess_per_1000_ode_integrations","diagnostic_passed"
"baseline","mu_log_lambda",1.98363175277298,0.209950698108763,1.63186002830377,1.99006818068017,2.32148582597013,0.019741921283033,0.0071633628360429,0.0241966457714319,0.01850302757707,0.0190179384736713,1.021046141898,112.52154936138,389.475763764954,0.0249821576879033,0.0864718358502467,0.0118257555209401,0.28133200660411,0.973786788091194,0.282407380241744,0.977509025931211,FALSE
"baseline","mu_log_mu_t",-4.13331442827906,0.302767918436207,-4.63692786884109,-4.13244691061187,-3.63783162197796,0.0292658763954359,0.0114123326684444,0.0309279320861862,0.0304605961552498,0.0321379072643169,1.04104660925598,107.365712486913,288.084168989428,0.0238374531353792,0.0639607628754592,0.0112838889475651,0.268441125329815,0.720282450718643,0.269467224396612,0.723035684410404,FALSE
"baseline","mu_log_mu_a",0.945131975759375,0.22918616183359,0.555400239746448,0.951752965842571,1.31017535876458,0.0167382689076109,0.00572549675052299,0.0177738408813755,0.0172114842063683,0.0174857313500955,1.0090404927197,185.898610607314,719.87400833087,0.0412734132307286,0.15982721615205,0.019537515553257,0.464793005818866,1.79986500732791,0.466569647415561,1.80674487643183,FALSE
"baseline","mu_log_p",7.15557991345233,0.326613667307598,6.6556005307514,7.13712676759279,7.73100017499384,0.0261735036089992,0.0144548745624344,0.0192804024538185,0.0243062576923223,0.0469099534574071,1.01789984325042,162.428351227732,260.149805796996,0.0360625205250691,0.0577587449496021,0.0170708453819764,0.406111489218251,0.650439558448336,0.40766382446342,0.652925822142513,FALSE
"baseline","mu_log_alpha_l",-8.76424091036695,0.636448468449331,-9.81239095742668,-8.75459328727973,-7.67060072580067,0.0829122315612386,0.0446337877686438,0.0807088667371518,0.0716149348382595,0.187645935277898,1.03594919822115,60.0823804812336,89.2034500896548,0.0133395559514217,0.0198050477361241,0.00631451972284199,0.150220973300414,0.223030928316969,0.15079518338215,0.223883449804247,FALSE
"baseline","mu_u_pi",0.495490740282502,0.459699426025175,-0.239776696326048,0.493964405911306,1.23976979830281,0.0869320883780625,0.035284272211174,0.124376564622413,0.108755316123893,0.0717419495184554,1.11438240683441,27.5792627413488,76.6441111769711,0.00612317813459625,0.017016609548477,0.00289851695500119,0.0689550523586079,0.191629440886516,0.0692186286448016,0.19236193219247,FALSE
"baseline","mu_u_eta_rti",4.19439584270285,0.249179137135901,3.78139288956134,4.19609060990102,4.60320375394758,0.0162975873637435,0.00712814707250869,0.0215549042671157,0.0174790276297654,0.0193425053723657,1.01069945988657,234.211473848028,612.952923552277,0.0519998880676268,0.136088479747686,0.0246150861381267,0.585587243344406,1.53253556243694,0.587825613203665,1.53839358180158,FALSE
"baseline","mu_u_eta_pi",5.29533239303099,0.20099774620391,4.96674513588135,5.29499578767244,5.62563811365478,0.0100291799189878,0.00419674677583671,0.0126580638885976,0.0106948248144283,0.0132344744479842,1.0077038866072,401.78559788171,1117.86136984611,0.0892048787097,0.248188806261641,0.0422267403830706,1.00456445114939,2.79493291790707,1.00840433464189,2.80561637058333,TRUE
"baseline","beta_nelf",-0.844760829958979,0.779325449415088,-2.15154954242282,-0.847706305947775,0.406319795700542,0.0739649374732032,0.0406072261678955,0.1174638618844,0.0758473144883695,0.100573281307734,1.02314875983138,111.166239081319,210.811709136866,0.0246812502144044,0.0468046466654965,0.0116833155339511,0.277943392042501,0.52708198104027,0.279005812917271,0.529096718268801,FALSE
"baseline","log_omega_lambda",-0.782744238977621,0.219270304930876,-1.14348697629193,-0.7823369958364,-0.418838769196262,0.00522768196988964,0.00200052198060199,0.00794891310402279,0.00473469476358984,0.00605653062181361,1.00348172045874,1760.34421712196,3756.53996809385,0.390833552032689,0.834031120051768,0.185008120333704,4.4013006728722,9.39228914914953,4.41812436375629,9.42819057490606,TRUE
"baseline","log_omega_mu_t",-1.17747648705882,0.352253962439102,-1.76086194157828,-1.17630949662538,-0.59087944545816,0.0130707457394065,0.00572252575620943,0.0151881302561447,0.0127791056899462,0.0224111389008207,1.00550342373486,726.087678558809,1222.67990694099,0.161206782024863,0.271460732725341,0.0763101416762976,1.81540073647067,3.05700546789926,1.82233998990759,3.0686906761696,TRUE
"baseline","log_omega_mu_a",-1.0109579306406,0.359128111880998,-1.65132319757297,-0.982077528449394,-0.474818931159156,0.0196110313856302,0.00849860683113885,0.0310702474330258,0.0199179892587267,0.0137037842288856,1.01446491435086,344.785098049191,880.711741516862,0.0765495652769643,0.195536585916527,0.0362361192139124,0.862048950017979,2.20199955374753,0.865344077104262,2.21041655648663,FALSE
"baseline","log_omega_p",-0.720429717724671,0.328713023129748,-1.30514160191999,-0.692525646130812,-0.228381424077253,0.0179942451966185,0.00727906585118806,0.0270982735722104,0.0175146036349172,0.0124688069017963,1.01043004466626,344.693494889636,916.502692048469,0.0765292274431031,0.203482931972507,0.0362264919329516,0.861819919216011,2.29148587870904,0.865114170846672,2.30024493721333,FALSE
"baseline","log_omega_alpha_l",-0.550092668034627,0.578575765157292,-1.58259620275831,-0.501043241978267,0.302298954517428,0.0350135200692406,0.017732644048314,0.0644431931406166,0.0380275160391389,0.022911978153282,1.01456472321934,274.332788942953,642.002396688632,0.0609076664090747,0.142538075605206,0.0288317438910995,0.685900562413623,1.60516650837242,0.688522373531958,1.61130215489182,FALSE
"baseline","log_omega_pi",-1.25744258515213,0.360720088409227,-1.85116829140654,-1.25875347714243,-0.661488460762119,0.017354910555938,0.00599373051192818,0.0140962822148765,0.018251521577702,0.0216458785745346,1.00372072338213,432.976362961009,1104.06589848001,0.0961298865507745,0.245125920592159,0.0455048179107292,1.08254916231876,2.76044079027905,1.08668713739188,2.77099239899912,TRUE
"baseline","log_omega_eta_rti",-1.04300510876683,0.348228499392201,-1.60808659822373,-1.04810926664105,-0.466987322044785,0.0123497890803052,0.0070585304222174,0.0135005949485235,0.0116674002505373,0.0224593274955359,1.00274311303741,803.38968845606,1014.01541291914,0.178369458968128,0.225132813112553,0.0844344047664391,2.00867508864902,2.535292061504,2.0163531209603,2.54498305357971,TRUE
"baseline","log_omega_eta_pi",-1.0578604649835,0.348525504895937,-1.62941036588231,-1.06008194857083,-0.486402534754978,0.0123208462368873,0.00614777081438525,0.0118032084732145,0.0126541181460986,0.0215190671725621,1.00765785719136,803.324397931447,1164.09356376799,0.17835496309431,0.25845332861642,0.0844275428827706,2.00851184601322,2.91052496191618,2.01618925433995,2.92165025780235,TRUE
"baseline","log_gamma_pop",-5.99770639296076,0.500384432057109,-6.82632963600896,-6.01168585821454,-5.19284454631884,0.0749056996928214,0.0501945054662371,0.200848603877877,0.0698729503843709,0.0698956084507367,1.08024658446144,44.2993919033324,20.9024996103217,0.00983539953269718,0.00464079586799241,0.00465576399674894,0.110759555713902,0.0522614751733216,0.111182927045762,0.0524612413262868,FALSE
"baseline","log_mu_l_pop",-3.70073013282659,0.392526407747981,-4.34480722126476,-3.68890602000066,-3.06860021060571,0.0655410298624357,0.0485785638804435,0.0667726412777969,0.0732362325578093,0.0936136103406142,1.10623737477421,35.890563801028,36.9167384795976,0.00796846230321087,0.008196294729807,0.00377201554216543,0.089735383040874,0.0923010763066246,0.0900783908146783,0.0926538912791672,FALSE
"baseline","log_sigma_v",-0.660989027577353,0.139096502821877,-0.882149583573597,-0.665441613295362,-0.427416084846875,0.00706961572331671,0.00308272530876387,0.00488168287870822,0.00686475766268108,0.0113562391010536,1.00418905391567,384.261453570821,910.721583651323,0.0853141489872165,0.202199403951359,0.0403849932021046,0.960749708897942,2.27703166229454,0.964422113334908,2.28573547047921,FALSE
"baseline","log_sigma_t",-1.08512026980464,0.127704762313293,-1.28666419735837,-1.09134475669371,-0.864081417484659,0.00468400775315975,0.00153235586015139,0.00341545463485371,0.00443054355453398,0.00638769046110238,1.00661958082552,751.640917459291,2419.48631566638,0.166880140126237,0.537177003025232,0.0789957281947943,1.8792902226705,6.04932072123807,1.8864736895903,6.07244386356281,TRUE
"baseline","treated_logit_location",4.45057156307201,0.803864892815511,3.12505327186453,4.43806242928878,5.77878828253849,0.0785527085378029,0.0453571516208891,0.117216460573184,0.0822963928701794,0.119071183418244,1.0265299834395,104.662053828494,185.75181855192,0.0232371838774261,0.0412408222977384,0.0109997406534117,0.261681302701505,0.464425988978697,0.262681562777789,0.466201227676946,FALSE
"recycling","mu_log_lambda",2.07111827402683,0.194547432524312,1.74827654358673,2.07457414187299,2.38632769651625,0.0194298852103189,0.00825704908425316,0.0193029831364973,0.016086707548844,0.0348972748336045,1.03935430812774,98.0040274627476,141.726019646144,0.0188356505124764,0.027238694609707,0.0111368978687578,0.24514060602958,0.354503822400787,0.255089283990546,0.368890848777687,FALSE
