"endpoint_id","patient_id","quantity","required_for_gate","split_rhat","rank_normalized_split_rhat","folded_split_rhat","mcmc_ess","tail_mcmc_ess","relative_mcmc_ess","chain_mean_range","diagnostic_available","failure_code","failure_message"
"treatment_minus","3","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","6","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","16","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","20","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","55","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","71","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","74","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","88","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_minus","105","forward_raw_weight_contribution",TRUE,1.06246682725335,1.06246682725335,1.01109740383828,23.2973329301317,50.9138931542909,0.0232973329301317,0.0574109584724684,TRUE,NA,NA
"treatment_minus","105","reference_x/u_eta_pi",TRUE,1.06246682725335,1.06246682725335,1.0048259296782,23.2973329301317,50.9138931542909,0.0232973329301317,0.210065715818658,TRUE,NA,NA
"treatment_minus","111","forward_raw_weight_contribution",TRUE,1.0654013878422,1.0654013878422,1.0097794948857,24.6920436832455,22.3777391545673,0.0246920436832455,0.00106795789289443,TRUE,NA,NA
"treatment_minus","111","reference_x/u_eta_pi",TRUE,1.0654013878422,1.0654013878422,1.05353774853002,24.6920436832455,22.3777391545673,0.0246920436832455,0.0608291296477872,TRUE,NA,NA
"treatment_minus","117","forward_raw_weight_contribution",TRUE,1.040625441446,1.040625441446,1.00684559963875,39.904133882174,55.4859249366594,0.039904133882174,0.0038994448549094,TRUE,NA,NA
"treatment_minus","117","reference_x/u_eta_pi",TRUE,1.040625441446,1.040625441446,1.02206239636562,39.904133882174,55.4859249366594,0.039904133882174,0.0871167572606448,TRUE,NA,NA
"treatment_minus","122","forward_raw_weight_contribution",TRUE,1.02464159125174,1.00114375082045,1.02464159125174,50.8983231930948,53.2885215882468,0.0508983231930948,0.0262341145718867,TRUE,NA,NA
"treatment_minus","122","reference_x/u_eta_pi",TRUE,1.0374604567166,1.00114375082045,1.0374604567166,50.8983231930948,53.2885215882468,0.0508983231930948,0.0178325449112444,TRUE,NA,NA
"treatment_plus","3","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_plus","6","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_plus","16","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_plus","20","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_plus","55","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
"treatment_plus","71","forward_raw_weight_contribution",TRUE,1,1,1,1000,1000,1,0,TRUE,NA,NA
