parameter,variance,sd
omega_u_log_lambda,0.24682332182556532,0.4968131659140741
omega_u_log_gamma,0,0
omega_u_log_mu_t,2.642983168213121,1.6257254282975095
omega_u_log_mu_l,0,0
omega_u_log_mu_a,0.002384243490507476,0.04882871583922186
omega_u_log_p,0.49172328340787885,0.701229836364568
omega_u_log_alpha_l,0.002160894350907938,0.046485420842538774
omega_u_pi,0.5014268699095001,0.7081150117809254
omega_u_eta_rti,3.085836334440728,1.7566548706108231
omega_u_eta_pi,0.23888705489086703,0.4887607337858341
omega_u_log_sigma_v,0,0
omega_u_log_sigma_t,0,0
