"patient_id","context","profile","exact_cpu_sec","guide_cpu_sec","cpu_speedup","exact_finite_fraction","false_negative_guide_failures","absolute_residual_difference95","finite_design_pairs","case_pass"
"3","centre","rtol_1e4",1.311,0.840000000000004,1.56071428571428,1,0,0.00137536745447804,48,TRUE
"3","centre","rtol_1e2",1.311,0.602999999999999,2.17412935323383,1,0,0.0916266195720727,48,TRUE
"3","centre","rtol_1e1",1.311,0.474,2.76582278481013,1,0,0.716652561933649,48,TRUE
"3","dynamic_1_plus","rtol_1e4",1.329,0.845000000000007,1.57278106508875,1,0,0.00107501971026949,48,TRUE
"3","dynamic_1_plus","rtol_1e2",1.329,0.511999999999989,2.59570312500006,1,0,0.0801681964549228,48,TRUE
"3","dynamic_1_plus","rtol_1e1",1.329,0.449000000000002,2.95991091314031,1,0,0.484104216306269,48,TRUE
"3","dynamic_2_plus","rtol_1e4",1.332,0.835000000000013,1.5952095808383,1,0,0.00130961073517213,48,TRUE
"3","dynamic_2_plus","rtol_1e2",1.332,0.523000000000005,2.54684512428297,1,0,0.0879567715597478,48,TRUE
"3","dynamic_2_plus","rtol_1e1",1.332,0.494999999999998,2.69090909090911,1,0,0.613918943762809,48,TRUE
"74","centre","rtol_1e4",1.28,0.821999999999997,1.55717761557178,1,0,0.00144824750338799,48,TRUE
"74","centre","rtol_1e2",1.28,0.533999999999995,2.39700374531837,1,0,0.0739754819540257,48,TRUE
"74","centre","rtol_1e1",1.28,0.412999999999975,3.09927360774836,1,0,0.884638575348094,48,TRUE
"74","dynamic_1_plus","rtol_1e4",1.31500000000001,0.820999999999986,1.60170523751526,1,0,0.00176979073336341,48,TRUE
"74","dynamic_1_plus","rtol_1e2",1.31500000000001,0.494999999999996,2.65656565656569,1,0,0.0699219720936783,48,TRUE
"74","dynamic_1_plus","rtol_1e1",1.31500000000001,0.423000000000027,3.10874704491708,1,0,0.895629307705799,48,TRUE
"74","dynamic_2_plus","rtol_1e4",1.29900000000002,0.815000000000017,1.59386503067484,1,0,0.0024095843616454,48,TRUE
"74","dynamic_2_plus","rtol_1e2",1.29900000000002,0.488999999999976,2.65644171779158,1,0,0.0935465374928048,48,TRUE
"74","dynamic_2_plus","rtol_1e1",1.29900000000002,0.41499999999996,3.13012048192805,1,0,0.934647122095353,48,TRUE
"122","centre","rtol_1e4",1.31600000000002,0.831000000000017,1.58363417569192,1,0,0.00173178749800549,48,TRUE
"122","centre","rtol_1e2",1.31600000000002,0.483000000000002,2.72463768115945,1,0,0.0698161502426256,48,TRUE
"122","centre","rtol_1e1",1.31600000000002,0.408999999999999,3.21760391198049,1,0,0.596840211004739,48,TRUE
"122","dynamic_1_plus","rtol_1e4",1.27299999999999,0.809000000000025,1.57354758961674,1,0,0.00135191955387235,48,TRUE
"122","dynamic_1_plus","rtol_1e2",1.27299999999999,0.51700000000001,2.46228239845254,1,0,0.0641726617256626,48,TRUE
"122","dynamic_1_plus","rtol_1e1",1.27299999999999,0.412999999999979,3.08232445520593,1,0,0.591460901077173,48,TRUE
"122","dynamic_2_plus","rtol_1e4",1.30600000000004,0.848999999999986,1.53828032979983,1,0,0.00158345454098843,48,TRUE
"122","dynamic_2_plus","rtol_1e2",1.30600000000004,0.485999999999972,2.68724279835414,1,0,0.0659475357086375,48,TRUE
"122","dynamic_2_plus","rtol_1e1",1.30600000000004,0.418999999999976,3.11694510739884,1,0,0.425308311109994,48,TRUE
