"cap","mean_capped_ratio","mass_ratio_lower","collapse_upper","patient_id","gaussian_mass","radius","log_c_probe","n_validation","alpha_per_cap"
2,1.95676385817635,1.7999951050672,0.555557066341394,"3",0.5,2.71000396636274,-66.527816216703,512,0.00185185185185185
10,5.16523856825292,4.38139480270714,0.228237820381338,"3",0.5,2.71000396636274,-66.527816216703,512,0.00185185185185185
50,5.31415037311585,1.39493154538694,0.716881056498446,"3",0.5,2.71000396636274,-66.527816216703,512,0.00185185185185185
2,1.97303701296604,1.81626825985688,0.550579461251388,"3",0.8,3.3211581459339,-66.7748752599498,512,0.00185185185185185
10,6.35958574593871,5.57574198039292,0.179348327723287,"3",0.8,3.3211581459339,-66.7748752599498,512,0.00185185185185185
50,6.80346599668919,2.88424716896027,0.346710923655161,"3",0.8,3.3211581459339,-66.7748752599498,512,0.00185185185185185
2,1.99789160603989,1.84112285293073,0.543146807616983,"3",0.95,3.93793258650595,-68.3703768871528,512,0.00185185185185185
10,9.86164474952354,9.07780098397776,0.110158837119804,"3",0.95,3.93793258650595,-68.3703768871528,512,0.00185185185185185
50,31.4566612983809,27.537442470652,0.0363141929780062,"3",0.95,3.93793258650595,-68.3703768871528,512,0.00185185185185185
2,1.98703525899623,1.83026650588708,0.54636851889246,"74",0.5,2.71000396636274,-36.560312292152,512,0.00185185185185185
10,4.19434046658941,3.41049670104363,0.293212422605187,"74",0.5,2.71000396636274,-36.560312292152,512,0.00185185185185185
50,4.21678658969627,0.297567761967354,1,"74",0.5,2.71000396636274,-36.560312292152,512,0.00185185185185185
2,1.97290484940974,1.81613609630058,0.550619527929086,"74",0.8,3.3211581459339,-36.3493804404879,512,0.00185185185185185
10,3.4095674610164,2.62572369547062,0.38084738379937,"74",0.8,3.3211581459339,-36.3493804404879,512,0.00185185185185185
50,3.41487713617339,0,1,"74",0.8,3.3211581459339,-36.3493804404879,512,0.00185185185185185
2,1.99461365367345,1.8378449005643,0.544115556047715,"74",0.95,3.93793258650595,-37.0115719214164,512,0.00185185185185185
10,6.40600333597795,5.62215957043217,0.177867594733376,"74",0.95,3.93793258650595,-37.0115719214164,512,0.00185185185185185
50,6.6215732687905,2.70235444106158,0.370047683162969,"74",0.95,3.93793258650595,-37.0115719214164,512,0.00185185185185185
2,1.99703811661118,1.84026936350202,0.543398710989247,"122",0.5,2.71000396636274,-47.8114076106638,512,0.00185185185185185
10,7.52986531453838,6.7460215489926,0.14823551818469,"122",0.5,2.71000396636274,-47.8114076106638,512,0.00185185185185185
50,8.70946480318278,4.79024597545386,0.20875754713311,"122",0.5,2.71000396636274,-47.8114076106638,512,0.00185185185185185
2,1.99951058142952,1.84274182832036,0.54266961580369,"122",0.8,3.3211581459339,-48.0489385651644,512,0.00185185185185185
10,8.55786463132908,7.7740208657833,0.128633562639562,"122",0.8,3.3211581459339,-48.0489385651644,512,0.00185185185185185
50,10.9904990634729,7.07128023574402,0.141417107887364,"122",0.8,3.3211581459339,-48.0489385651644,512,0.00185185185185185
2,2,1.84323124689084,0.542525525045648,"122",0.95,3.93793258650595,-48.7753035378146,512,0.00185185185185185
10,9.83049535129605,9.04665158575026,0.110538135631877,"122",0.95,3.93793258650595,-48.7753035378146,512,0.00185185185185185
50,22.0431871229076,18.1239682951787,0.0551755544764452,"122",0.95,3.93793258650595,-48.7753035378146,512,0.00185185185185185
