"endpoint_id","axis","parameter","step","sign","patient_id","chain","direction","raw_log_ratio","oriented_log_ratio","relative_weight_ess","max_normalized_weight","d2","batch_log_mcse","split_log_ratio_difference"
"saem_component","reference_component",NA,0,0,"3","chain_01","forward",0.693147180559945,0.693147180559945,1,0.001,0,1.32401821506521e-16,0
"saem_component","reference_component",NA,0,0,"3","chain_02","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"6","chain_01","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"6","chain_02","forward",0.693147180559945,0.693147180559945,1,0.001,0,9.3622225828712e-17,0
"saem_component","reference_component",NA,0,0,"16","chain_01","forward",0.62057648772511,0.62057648772511,0.93,0.0010752688172043,0.0725706928348355,0.023228461284616,0.00430108189939027
"saem_component","reference_component",NA,0,0,"16","chain_02","forward",0.579978482454307,0.579978482454307,0.893,0.00111982082866741,0.113168698105638,0.0298175295760231,0.0425596144187965
"saem_component","reference_component",NA,0,0,"20","chain_01","forward",0.668854487990901,0.668854487990901,0.976,0.00102459016393443,0.0242926925690448,0.00893216996627193,0.00819676720417828
"saem_component","reference_component",NA,0,0,"20","chain_02","forward",0.685115008862681,0.685115008862681,0.992,0.00100806451612903,0.00803217169726445,0.00558240851002563,0.0161293819298836
"saem_component","reference_component",NA,0,0,"55","chain_01","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"55","chain_02","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"71","chain_01","forward",0.621651178854876,0.621651178854876,0.931,0.00107411385606874,0.0714960017050696,0.021449431866452,0.0365239308008718
"saem_component","reference_component",NA,0,0,"71","chain_02","forward",0.570979546585738,0.570979546585738,0.885,0.00112994350282486,0.122167633974207,0.0362932974945699,0.0519891079376009
"saem_component","reference_component",NA,0,0,"74","chain_01","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"74","chain_02","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"88","chain_01","forward",-0.179126665897435,-0.179126665897435,0.418,0.00239234449760766,0.87227384645738,0.175540060553532,0.35783705911891
"saem_component","reference_component",NA,0,0,"88","chain_02","forward",-0.183922838160928,-0.183922838160928,0.416,0.00240384615384615,0.877070018720874,0.20846273101813,0.222061885443469
"saem_component","reference_component",NA,0,0,"105","chain_01","forward",-0.309246250367621,-0.309246250367621,0.367,0.00272479564032697,1.00239343092757,0.383865374204845,1.65256233906785
"saem_component","reference_component",NA,0,0,"105","chain_02","forward",-0.807436326962073,-0.807436326962073,0.223,0.00448430493273543,1.50058350752202,0.465401340581224,3.5881378843124
"saem_component","reference_component",NA,0,0,"111","chain_01","forward",0.683096844706444,0.683096844706444,0.99,0.00101010101010101,0.0100503358535011,0.00602307872727215,0.0161619679569984
"saem_component","reference_component",NA,0,0,"111","chain_02","forward",0.690142671539647,0.690142671539647,0.997,0.00100300902708124,0.00300450902029858,0.00300902708124373,0.00601807232556251
"saem_component","reference_component",NA,0,0,"117","chain_01","forward",-0.55512588266257,-0.55512588266257,0.287,0.00348432055749129,1.24827306322251,0.10620035299044,0.259282597930082
"saem_component","reference_component",NA,0,0,"117","chain_02","forward",-0.61248927754249,-0.61248927754249,0.271,0.003690036900369,1.30563645810244,0.185519946231038,0.766008528824817
"saem_component","reference_component",NA,0,0,"122","chain_01","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"saem_component","reference_component",NA,0,0,"122","chain_02","forward",0.693147180559945,0.693147180559945,1,0.001,0,0,0
"priorcentral_component","reference_component",NA,0,0,"3","chain_01","forward",-919.993780130974,-919.993780130974,0.00199999999999978,0.500000000000028,6.2146080984223,0.99999999999999,435.376205313457
"priorcentral_component","reference_component",NA,0,0,"3","chain_02","forward",-1057.28510185989,-1057.28510185989,0.0360000561386885,0.0277777561193573,3.32423478111923,0.999999133663351,505.075377176193
"priorcentral_component","reference_component",NA,0,0,"6","chain_01","forward",-1121.77228299714,-1121.77228299714,0.144071560046556,0.00694271896710153,1.93744515807454,0.717724226003961,186.790540074467
"priorcentral_component","reference_component",NA,0,0,"6","chain_02","forward",-1223.91409649444,-1223.91409649444,0.141999999999998,0.0070422535211268,1.95192822138089,0.729801598190602,0.901548450136943
"priorcentral_component","reference_component",NA,0,0,"16","chain_01","forward",-1.96611285637283,-1.96611285637283,0.07,0.0142857142857143,2.65926003693278,0.308606699924184,0.0571584138399484
"priorcentral_component","reference_component",NA,0,0,"16","chain_02","forward",-1.54177926396029,-1.54177926396029,0.107,0.00934579439252337,2.23492644452023,0.248850971134474,0.358945092473271
"priorcentral_component","reference_component",NA,0,0,"20","chain_01","forward",-3.03655426807425,-3.03655426807425,0.024,0.0416666666666667,3.72970144863419,0.363241578628389,0.336472236621213
"priorcentral_component","reference_component",NA,0,0,"20","chain_02","forward",-4.13516655674236,-4.13516655674236,0.008,0.125,4.8283137373023,0.692218655243172,856.53015563665
"priorcentral_component","reference_component",NA,0,0,"55","chain_01","forward",-976.600374767859,-976.600374767859,0.0730000000000034,0.013698630136986,2.6172958378337,0.99999999999999,333.997119256182
"priorcentral_component","reference_component",NA,0,0,"55","chain_02","forward",-916.383192512681,-916.383192512681,0.0160000000000002,0.0624999999999995,4.13516655674234,0.99999999999999,187.602699365847
"priorcentral_component","reference_component",NA,0,0,"71","chain_01","forward",-1.98050159382493,-1.98050159382493,0.069,0.0144927536231884,2.67364877438488,0.289411899531404,0.50310357767208
"priorcentral_component","reference_component",NA,0,0,"71","chain_02","forward",-1.46967597005894,-1.46967597005894,0.115,0.00869565217391304,2.16282315061889,0.27930059376256,0.405465108108165
"priorcentral_component","reference_component",NA,0,0,"74","chain_01","forward",-1107.59319431832,-1107.59319431832,0.0100000000000021,0.0999999999999896,4.60517018598788,1.0000000000001,44.6631917845641
"priorcentral_component","reference_component",NA,0,0,"74","chain_02","forward",-780.718176704612,-780.718176704612,0.0180000000000019,0.0555555555555526,4.01738352108586,0.99999999999999,384.970848558607
"priorcentral_component","reference_component",NA,0,0,"88","chain_01","forward",0.151862349309247,0.151862349309247,0.582000000000001,0.00171821305841924,0.541284831250698,0.126075163765252,0.255679341365608
"priorcentral_component","reference_component",NA,0,0,"88","chain_02","forward",0.155292884406036,0.155292884406036,0.584,0.00171232876712329,0.53785429615391,0.148494000177298,0.157861259223794
"priorcentral_component","reference_component",NA,0,0,"105","chain_01","forward",0.235862323721984,0.235862323721984,0.633,0.00157977883096367,0.457284856837961,0.222557017903915,0.831549503419065
"priorcentral_component","reference_component",NA,0,0,"105","chain_02","forward",0.440832251945456,0.440832251945456,0.777,0.00128700128700129,0.252314928614489,0.133570783718936,0.557088619544685
"priorcentral_component","reference_component",NA,0,0,"111","chain_01","forward",-3.91202300542815,-3.91202300542815,0.01,0.1,4.60517018598809,0.596284793999943,2.19722457733622
"priorcentral_component","reference_component",NA,0,0,"111","chain_02","forward",-5.11599580975408,-5.11599580975408,0.003,0.333333333333333,5.80914299031403,0.999999999999999,882.845608743894
"priorcentral_component","reference_component",NA,0,0,"117","chain_01","forward",0.354873321992105,0.354873321992105,0.713,0.00140252454417952,0.338273858567841,0.0427482486791814,0.103880130487392
"priorcentral_component","reference_component",NA,0,0,"117","chain_02","forward",0.377065633586467,0.377065633586467,0.729,0.00137174211248285,0.316081546973479,0.0689655767196314,0.273293334999681
"priorcentral_component","reference_component",NA,0,0,"122","chain_01","forward",-1301.73959198501,-1301.73959198501,0.00800011257703127,0.124999120501076,4.8282996652724,0.99999218224297,11.8644649308585
"priorcentral_component","reference_component",NA,0,0,"122","chain_02","forward",-1068.57540329617,-1068.57540329617,0.34899999999994,0.00286532951289423,1.05268335677988,0.419432437133103,2.16268425208409
