"reserve_id","finite_target_patients","useful_patients","sum_pairwise_acceptance","snapshot","useful_ode_patients"
"reserve_078",12,1,0.183174776038756,"comparator_chain01_retained0750",0
"reserve_079",12,1,0.17886490656083,"comparator_chain01_retained0750",1
"reserve_080",12,0,0.0118510737729184,"comparator_chain01_retained0750",0
"reserve_081",12,0,0.00090129775797183,"comparator_chain01_retained0750",0
"reserve_082",12,0,0.00019090639275418,"comparator_chain01_retained0750",0
"reserve_083",12,0,0.0277070790007071,"comparator_chain01_retained0750",0
"reserve_084",12,1,0.164693620326211,"comparator_chain01_retained0750",1
"reserve_085",12,1,1.00000088934871,"comparator_chain01_retained0750",0
"reserve_086",12,0,0.0606829411664754,"comparator_chain01_retained0750",0
"reserve_087",12,2,1.22261663051963,"comparator_chain01_retained0750",1
"reserve_088",12,0,0.00130297307908339,"comparator_chain01_retained0750",0
"reserve_089",12,0,2.95298154497928e-05,"comparator_chain01_retained0750",0
"reserve_090",12,0,0.0215955480522306,"comparator_chain01_retained0750",0
"reserve_091",12,0,0.0482289614366726,"comparator_chain01_retained0750",0
"reserve_092",12,0,0.00426933431140028,"comparator_chain01_retained0750",0
"reserve_093",12,0,0.0976029329054912,"comparator_chain01_retained0750",0
"reserve_094",12,1,0.296049415545421,"comparator_chain01_retained0750",1
"reserve_095",12,1,0.414260671202834,"comparator_chain01_retained0750",1
"reserve_096",12,1,0.219593779404168,"comparator_chain01_retained0750",0
"reserve_097",12,1,0.301701129462589,"comparator_chain01_retained0750",0
"reserve_098",12,2,0.732471669914261,"comparator_chain01_retained0750",0
"reserve_099",12,1,0.511560968997277,"comparator_chain01_retained0750",1
"reserve_100",12,0,0.101380830778227,"comparator_chain01_retained0750",0
"reserve_101",12,0,0.000351687504981944,"comparator_chain01_retained0750",0
"reserve_102",12,0,0.0129279059037847,"comparator_chain01_retained0750",0
"reserve_103",12,1,0.149772103531383,"comparator_chain01_retained0750",0
"reserve_104",12,1,1.06936720389097,"comparator_chain01_retained0750",1
"reserve_105",12,1,0.23642988499072,"comparator_chain01_retained0750",1
"reserve_106",12,1,0.300004256363277,"comparator_chain01_retained0750",0
"reserve_107",12,3,0.725946976484561,"comparator_chain01_retained0750",2
"reserve_108",0,0,0,"comparator_chain01_retained0750",0
"reserve_109",12,0,2.11564782833344e-05,"comparator_chain01_retained0750",0
"reserve_110",12,0,0.00469112139032054,"comparator_chain01_retained0750",0
"reserve_111",12,0,0.121926853566727,"comparator_chain01_retained0750",0
"reserve_112",12,2,1.40488096393467,"comparator_chain01_retained0750",2
"reserve_113",12,0,0.11789011125291,"comparator_chain01_retained0750",0
"reserve_114",12,1,1.09187342029188,"comparator_chain01_retained0750",1
"reserve_115",12,2,1.14595726114222,"comparator_chain01_retained0750",0
"reserve_116",12,0,0.00619912139369215,"comparator_chain01_retained0750",0
"reserve_117",12,2,0.725674384231173,"comparator_chain01_retained0750",0
