"snapshot","direct_mean_acceptance","fraction_shared_reserves","sharing_lower95","sharing_upper95","fraction_reserves_useful_to_multiple_ode_patients","patients_mean_acceptance_ge_002","peer_mean_acceptance_excluding_self","max_abs_loglik_difference","max_abs_reserve_acceptance_difference","support_disagreements","prediction_outcome_disagreements","usefulness_pass","numerical_pass","speed_pass","continue_to_discuss_reduced_sampler"
"comparator_chain01_retained0750",0.0225673601423834,0.125,0.0784264463876166,0.193426270817515,0.0625,6,0.0510957346067316,0.0128111190838354,9.9073090848445e-06,0,0,TRUE,FALSE,TRUE,FALSE
"comparator_chain03_retained0750",0.0522654008283315,0.359375,0.281467305755259,0.445477463196666,0.1328125,7,0.0991967394090299,0.00716017022614324,1.94300971745331e-05,0,0,TRUE,TRUE,TRUE,TRUE
