"context","log_lambda_displacement","analytic_baseline_cd4","sealed_baseline_cd4","anchor_tangent_cd4","absolute_affine_error","error_in_fixed_anchor_cd4_sd","solver_ok","log_likelihood"
"comparator_chain01_retained0750",0.1,269.14988471655,269.14988471655,267.994827055967,1.15505766058305,0.0163841734898853,TRUE,-60.9377454479191
"comparator_chain01_retained0750",0.25,309.101641006127,309.101641006127,301.501188315763,7.6004526903637,0.107810319545195,TRUE,-64.77627593601
"comparator_chain01_retained0750",0.5,390.565847902719,390.565847902719,357.345123748756,33.2207241539626,0.471226785096943,TRUE,-73.1132494621048
"comparator_chain01_retained0750",1,629.479730819379,629.479730819379,469.032994614743,160.446736204637,2.27589258231115,TRUE,-92.1069965826064
"comparator_chain01_retained0750",2,1672.81739794859,1672.81739794859,692.408736346715,980.408661601873,13.9068257376545,TRUE,-127.092513736121
"comparator_chain01_retained0750",4,12218.1837719979,12218.1837719979,1139.16021981066,11079.0235521873,157.152885238589,TRUE,-189.931966798045
"comparator_chain03_retained0750",0.1,264.033441159584,264.033441159584,262.849217415287,1.18422374429642,0.0180172825913383,TRUE,-59.6895640889853
"comparator_chain03_retained0750",0.25,304.994009656726,304.994009656726,297.201639759982,7.79236989674345,0.118556422434578,TRUE,-62.8838100769611
"comparator_chain03_retained0750",0.5,388.51524968601,388.51524968601,354.45567700114,34.0595726848698,0.518196792590169,TRUE,-71.2776436577208
"comparator_chain03_retained0750",1,633.461889708419,633.46188970842,468.963751483455,164.498138224964,2.50274448255476,TRUE,-92.2508566431907
"comparator_chain03_retained0750",2,1703.14462581491,1703.14462581491,697.979900448087,1005.16472536682,15.2930026905843,TRUE,-132.061178147652
"comparator_chain03_retained0750",4,12514.789514738,12514.789514738,1156.01219837735,11358.7773163607,172.817258382658,TRUE,-204.14084512363
